Time;Robot;Node;Idleness;Interferences
35.4;0;24;19.3;3
48.9;2;19;7.2;5
49.3;1;15;15.7;5
59.4;1;13;42.6;7
63.4;2;20;13.0;7
67.5;3;4;17.0;7
67.8;4;24;32.4;7
