
Complete Patrol Cycles:	1

Vertex	Avg Idl	StdDev Idl	#Visits
77	277.1	71.4	4
78	277.2	71.5	4
79	244.2	75.9	5
80	244.3	76.0	5
81	128.4	90.9	4
82	128.1	91.4	4
83	139.5	173.5	9
84	178.0	264.6	7
85	408.9	291.1	3
86	96.6	98.2	15
87	64.6	93.4	17
88	97.9	117.7	11
89	156.2	123.1	6
90	55.5	91.1	22
91	187.4	127.3	6
92	76.7	99.9	19
93	255.3	239.0	5
94	128.4	90.8	4
95	82.1	84.7	10
96	128.2	91.3	4
97	244.2	75.8	5
98	122.1	108.4	10
99	409.0	291.4	3
100	409.0	291.4	3
101	127.6	109.3	9
102	98.5	75.8	14
103	111.1	91.3	11
104	94.1	82.1	15
105	93.7	110.5	15
106	66.0	52.0	20
107	58.3	38.3	22
108	65.2	68.0	20
109	299.1	174.5	3
110	277.4	70.9	4
111	369.0	224.5	3
112	277.4	71.0	4
113	231.2	190.5	6
114	231.2	190.4	6
115	245.8	213.4	5
116	245.9	213.4	5
117	173.3	79.3	7
118	84.3	51.6	15
119	87.5	77.8	14
120	117.1	138.5	11
121	116.0	144.2	11
122	244.9	186.8	5
123	118.0	131.1	11
124	159.9	225.3	7
125	88.3	134.2	15
126	115.0	165.7	11
127	109.7	149.6	13
128	106.7	118.9	13
129	116.5	108.0	12
130	354.1	230.6	3
131	354.0	231.0	3
132	114.0	156.0	11
133	244.8	186.8	5
134	317.0	209.3	4
135	245.9	213.6	5
136	246.0	213.4	5
137	113.2	161.5	11
138	244.9	186.4	5
139	99.1	130.8	13
140	142.2	201.8	9
141	231.1	190.5	6
142	231.0	190.4	6
143	173.1	79.3	7
144	55.7	72.3	22
145	170.2	78.5	7
146	223.5	177.1	5
147	78.7	122.2	16
148	113.4	175.7	11
149	245.7	211.1	5
150	158.0	201.5	7
151	105.6	135.4	12
152	244.9	186.7	5
153	244.9	186.6	5
154	293.2	226.7	4
155	95.2	154.4	13
156	131.6	202.2	9
157	97.1	167.8	13
158	137.5	201.4	9
159	354.2	230.3	3
160	354.5	230.0	3
161	306.6	216.1	4
162	354.9	229.9	3

Node idleness
   worst_avg_idleness (graph) = 645.5
   avg_idleness (graph) = 207.4
   median_idleness (graph) = 364.5
   stddev_idleness (graph) = 131.1

Global idleness
   min = 3.0
   avg = 147.4
   stddev = 174.1
   max = 819.0

Interferences	163
Interference rate	6.69
Visits	1271
Avg visits per node	7.8
Time Elapsed	1461.8
Real Time Elapsed	1461.0
Comm delay: 0.00
----------------------------------------------------------------------------------------------------------------------------------------------------------------


